Шаг №  1 	 В момент времени:  11 	 0  ->  1 	За время 0.01 	 Вероятности [1. 0.] 
Шаг №  254 	 В момент времени:  241917 	 1  ->  1 	За время 0.25 	 Вероятности [0.8 0.2] 
Шаг №  255 	 В момент времени:  242292 	 1  ->  1 	За время 0.376 	 Вероятности [0.8 0.2] 
Шаг №  256 	 В момент времени:  243472 	 1  ->  1 	За время 1.18 	 Вероятности [0.8 0.2] 
Шаг №  257 	 В момент времени:  244344 	 1  ->  1 	За время 0.872 	 Вероятности [0.8 0.2] 
Шаг №  258 	 В момент времени:  245336 	 1  ->  1 	За время 0.993 	 Вероятности [0.8 0.2] 
Шаг №  259 	 В момент времени:  245479 	 1  ->  1 	За время 0.143 	 Вероятности [0.8 0.2] 
Шаг №  260 	 В момент времени:  246578 	 1  ->  1 	За время 1.1 	 Вероятности [0.8 0.2] 
Шаг №  261 	 В момент времени:  247235 	 1  ->  2 	За время 0.658 	 Вероятности [0.8 0.2] 
Шаг №  262 	 В момент времени:  249180 	 2  ->  2 	За время 1.946 	 Вероятности [0.5 0.5] 
Шаг №  263 	 В момент времени:  250554 	 2  ->  1 	За время 1.374 	 Вероятности [0.5 0.5] 
Шаг №  264 	 В момент времени:  251702 	 1  ->  1 	За время 1.148 	 Вероятности [0.8 0.2] 
Шаг №  265 	 В момент времени:  252449 	 1  ->  1 	За время 0.748 	 Вероятности [0.8 0.2] 
Шаг №  266 	 В момент времени:  254613 	 1  ->  1 	За время 2.164 	 Вероятности [0.8 0.2] 
Шаг №  267 	 В момент времени:  254830 	 1  ->  2 	За время 0.217 	 Вероятности [0.8 0.2] 
Шаг №  268 	 В момент времени:  255535 	 2  ->  1 	За время 0.705 	 Вероятности [0.5 0.5] 
Шаг №  269 	 В момент времени:  255615 	 1  ->  1 	За время 0.081 	 Вероятности [0.8 0.2] 
Шаг №  270 	 В момент времени:  258203 	 1  ->  1 	За время 2.589 	 Вероятности [0.8 0.2] 
Шаг №  271 	 В момент времени:  259027 	 1  ->  1 	За время 0.824 	 Вероятности [0.8 0.2] 
Шаг №  272 	 В момент времени:  260056 	 1  ->  1 	За время 1.029 	 Вероятности [0.8 0.2] 
Шаг №  273 	 В момент времени:  260359 	 1  ->  1 	За время 0.304 	 Вероятности [0.8 0.2] 
Шаг №  274 	 В момент времени:  260980 	 1  ->  1 	За время 0.621 	 Вероятности [0.8 0.2] 
Шаг №  275 	 В момент времени:  262553 	 1  ->  1 	За время 1.574 	 Вероятности [0.8 0.2] 
Шаг №  276 	 В момент времени:  264514 	 1  ->  1 	За время 1.962 	 Вероятности [0.8 0.2] 
Шаг №  277 	 В момент времени:  264921 	 1  ->  2 	За время 0.408 	 Вероятности [0.8 0.2] 
Шаг №  278 	 В момент времени:  265205 	 2  ->  1 	За время 0.285 	 Вероятности [0.5 0.5] 
Шаг №  279 	 В момент времени:  265733 	 1  ->  1 	За время 0.528 	 Вероятности [0.8 0.2] 
Шаг №  280 	 В момент времени:  266415 	 1  ->  1 	За время 0.682 	 Вероятности [0.8 0.2] 
Шаг №  281 	 В момент времени:  266561 	 1  ->  2 	За время 0.146 	 Вероятности [0.8 0.2] 
Шаг №  282 	 В момент времени:  268549 	 2  ->  1 	За время 1.988 	 Вероятности [0.5 0.5] 
Шаг №  283 	 В момент времени:  270386 	 1  ->  1 	За время 1.838 	 Вероятности [0.8 0.2] 
Шаг №  284 	 В момент времени:  272084 	 1  ->  1 	За время 1.699 	 Вероятности [0.8 0.2] 
Шаг №  285 	 В момент времени:  274007 	 1  ->  1 	За время 1.924 	 Вероятности [0.8 0.2] 
Шаг №  286 	 В момент времени:  275150 	 1  ->  1 	За время 1.144 	 Вероятности [0.8 0.2] 
Шаг №  287 	 В момент времени:  276264 	 1  ->  1 	За время 1.115 	 Вероятности [0.8 0.2] 
Шаг №  288 	 В момент времени:  276379 	 1  ->  2 	За время 0.116 	 Вероятности [0.8 0.2] 
Шаг №  289 	 В момент времени:  277403 	 2  ->  2 	За время 1.024 	 Вероятности [0.5 0.5] 
Шаг №  290 	 В момент времени:  278140 	 2  ->  1 	За время 0.737 	 Вероятности [0.5 0.5] 
Шаг №  291 	 В момент времени:  278641 	 1  ->  1 	За время 0.502 	 Вероятности [0.8 0.2] 
Шаг №  292 	 В момент времени:  279857 	 1  ->  1 	За время 1.216 	 Вероятности [0.8 0.2] 
Шаг №  293 	 В момент времени:  280112 	 1  ->  1 	За время 0.255 	 Вероятности [0.8 0.2] 
Шаг №  294 	 В момент времени:  281365 	 1  ->  1 	За время 1.253 	 Вероятности [0.8 0.2] 
Шаг №  295 	 В момент времени:  281720 	 1  ->  1 	За время 0.355 	 Вероятности [0.8 0.2] 
Шаг №  296 	 В момент времени:  282164 	 1  ->  1 	За время 0.445 	 Вероятности [0.8 0.2] 
Шаг №  297 	 В момент времени:  282371 	 1  ->  2 	За время 0.208 	 Вероятности [0.8 0.2] 
Шаг №  298 	 В момент времени:  283020 	 2  ->  1 	За время 0.65 	 Вероятности [0.5 0.5] 
Шаг №  299 	 В момент времени:  283082 	 1  ->  1 	За время 0.062 	 Вероятности [0.8 0.2] 
Шаг №  300 	 В момент времени:  283733 	 1  ->  1 	За время 0.652 	 Вероятности [0.8 0.2] 
Шаг №  301 	 В момент времени:  284573 	 1  ->  2 	За время 0.84 	 Вероятности [0.8 0.2] 
Шаг №  302 	 В момент времени:  286035 	 2  ->  1 	За время 1.463 	 Вероятности [0.5 0.5] 
Шаг №  303 	 В момент времени:  286416 	 1  ->  1 	За время 0.381 	 Вероятности [0.8 0.2] 
Шаг №  304 	 В момент времени:  286788 	 1  ->  1 	За время 0.372 	 Вероятности [0.8 0.2] 
Шаг №  305 	 В момент времени:  288243 	 1  ->  1 	За время 1.455 	 Вероятности [0.8 0.2] 
Шаг №  306 	 В момент времени:  289585 	 1  ->  1 	За время 1.343 	 Вероятности [0.8 0.2] 
Шаг №  307 	 В момент времени:  290088 	 1  ->  1 	За время 0.504 	 Вероятности [0.8 0.2] 
Шаг №  308 	 В момент времени:  290486 	 1  ->  1 	За время 0.399 	 Вероятности [0.8 0.2] 
Шаг №  309 	 В момент времени:  291585 	 1  ->  1 	За время 1.099 	 Вероятности [0.8 0.2] 
Шаг №  310 	 В момент времени:  291623 	 1  ->  1 	За время 0.038 	 Вероятности [0.8 0.2] 
Шаг №  311 	 В момент времени:  291808 	 1  ->  1 	За время 0.185 	 Вероятности [0.8 0.2] 
Шаг №  312 	 В момент времени:  291811 	 1  ->  1 	За время 0.004 	 Вероятности [0.8 0.2] 
Шаг №  313 	 В момент времени:  292455 	 1  ->  1 	За время 0.644 	 Вероятности [0.8 0.2] 
Шаг №  314 	 В момент времени:  292809 	 1  ->  1 	За время 0.354 	 Вероятности [0.8 0.2] 
Шаг №  315 	 В момент времени:  292985 	 1  ->  1 	За время 0.176 	 Вероятности [0.8 0.2] 
Шаг №  316 	 В момент времени:  293957 	 1  ->  1 	За время 0.972 	 Вероятности [0.8 0.2] 
Шаг №  317 	 В момент времени:  295117 	 1  ->  1 	За время 1.161 	 Вероятности [0.8 0.2] 
Шаг №  318 	 В момент времени:  296527 	 1  ->  1 	За время 1.41 	 Вероятности [0.8 0.2] 
Шаг №  319 	 В момент времени:  297978 	 1  ->  1 	За время 1.452 	 Вероятности [0.8 0.2] 
Шаг №  320 	 В момент времени:  298522 	 1  ->  1 	За время 0.544 	 Вероятности [0.8 0.2] 
Шаг №  321 	 В момент времени:  299057 	 1  ->  2 	За время 0.536 	 Вероятности [0.8 0.2] 
Шаг №  322 	 В момент времени:  299970 	 2  ->  2 	За время 0.913 	 Вероятности [0.5 0.5] 
Шаг №  323 	 В момент времени:  301293 	 2  ->  2 	За время 1.323 	 Вероятности [0.5 0.5] 
Шаг №  324 	 В момент времени:  301731 	 2  ->  1 	За время 0.439 	 Вероятности [0.5 0.5] 
Шаг №  325 	 В момент времени:  302007 	 1  ->  1 	За время 0.277 	 Вероятности [0.8 0.2] 
Шаг №  326 	 В момент времени:  306975 	 1  ->  1 	За время 4.968 	 Вероятности [0.8 0.2] 
Шаг №  327 	 В момент времени:  307913 	 1  ->  2 	За время 0.939 	 Вероятности [0.8 0.2] 
Шаг №  328 	 В момент времени:  309594 	 2  ->  2 	За время 1.681 	 Вероятности [0.5 0.5] 
Шаг №  329 	 В момент времени:  309847 	 2  ->  1 	За время 0.253 	 Вероятности [0.5 0.5] 
Шаг №  330 	 В момент времени:  310176 	 1  ->  1 	За время 0.329 	 Вероятности [0.8 0.2] 
Шаг №  331 	 В момент времени:  310265 	 1  ->  1 	За время 0.09 	 Вероятности [0.8 0.2] 
Шаг №  332 	 В момент времени:  310609 	 1  ->  1 	За время 0.345 	 Вероятности [0.8 0.2] 
Шаг №  333 	 В момент времени:  310910 	 1  ->  1 	За время 0.302 	 Вероятности [0.8 0.2] 
Шаг №  334 	 В момент времени:  314269 	 1  ->  1 	За время 3.359 	 Вероятности [0.8 0.2] 
Шаг №  335 	 В момент времени:  314739 	 1  ->  2 	За время 0.471 	 Вероятности [0.8 0.2] 
Шаг №  336 	 В момент времени:  315406 	 2  ->  1 	За время 0.667 	 Вероятности [0.5 0.5] 
Шаг №  337 	 В момент времени:  316857 	 1  ->  1 	За время 1.452 	 Вероятности [0.8 0.2] 
Шаг №  338 	 В момент времени:  317025 	 1  ->  1 	За время 0.168 	 Вероятности [0.8 0.2] 
Шаг №  339 	 В момент времени:  321884 	 1  ->  1 	За время 4.86 	 Вероятности [0.8 0.2] 
Шаг №  340 	 В момент времени:  323657 	 1  ->  1 	За время 1.774 	 Вероятности [0.8 0.2] 
Шаг №  341 	 В момент времени:  325610 	 1  ->  1 	За время 1.954 	 Вероятности [0.8 0.2] 
Шаг №  342 	 В момент времени:  326059 	 1  ->  1 	За время 0.45 	 Вероятности [0.8 0.2] 
Шаг №  343 	 В момент времени:  327278 	 1  ->  1 	За время 1.219 	 Вероятности [0.8 0.2] 
Шаг №  344 	 В момент времени:  327559 	 1  ->  1 	За время 0.281 	 Вероятности [0.8 0.2] 
Шаг №  345 	 В момент времени:  327564 	 1  ->  1 	За время 0.005 	 Вероятности [0.8 0.2] 
Шаг №  346 	 В момент времени:  327925 	 1  ->  1 	За время 0.362 	 Вероятности [0.8 0.2] 
Шаг №  347 	 В момент времени:  328177 	 1  ->  1 	За время 0.253 	 Вероятности [0.8 0.2] 
Шаг №  348 	 В момент времени:  328447 	 1  ->  1 	За время 0.27 	 Вероятности [0.8 0.2] 
Шаг №  349 	 В момент времени:  329707 	 1  ->  1 	За время 1.26 	 Вероятности [0.8 0.2] 
Шаг №  350 	 В момент времени:  330492 	 1  ->  1 	За время 0.785 	 Вероятности [0.8 0.2] 
Шаг №  351 	 В момент времени:  332056 	 1  ->  1 	За время 1.565 	 Вероятности [0.8 0.2] 
Шаг №  352 	 В момент времени:  332523 	 1  ->  1 	За время 0.467 	 Вероятности [0.8 0.2] 
Шаг №  353 	 В момент времени:  333963 	 1  ->  1 	За время 1.441 	 Вероятности [0.8 0.2] 
Шаг №  354 	 В момент времени:  335128 	 1  ->  1 	За время 1.166 	 Вероятности [0.8 0.2] 
Шаг №  355 	 В момент времени:  337536 	 1  ->  2 	За время 2.409 	 Вероятности [0.8 0.2] 
Шаг №  356 	 В момент времени:  337600 	 2  ->  2 	За время 0.065 	 Вероятности [0.5 0.5] 
Шаг №  357 	 В момент времени:  337755 	 2  ->  2 	За время 0.155 	 Вероятности [0.5 0.5] 
Шаг №  358 	 В момент времени:  338276 	 2  ->  2 	За время 0.522 	 Вероятности [0.5 0.5] 
Шаг №  359 	 В момент времени:  338724 	 2  ->  1 	За время 0.448 	 Вероятности [0.5 0.5] 
Шаг №  360 	 В момент времени:  338931 	 1  ->  2 	За время 0.208 	 Вероятности [0.8 0.2] 
Шаг №  361 	 В момент времени:  340064 	 2  ->  1 	За время 1.133 	 Вероятности [0.5 0.5] 
Шаг №  362 	 В момент времени:  340190 	 1  ->  1 	За время 0.127 	 Вероятности [0.8 0.2] 
Шаг №  363 	 В момент времени:  340671 	 1  ->  2 	За время 0.482 	 Вероятности [0.8 0.2] 
Шаг №  364 	 В момент времени:  342440 	 2  ->  1 	За время 1.769 	 Вероятности [0.5 0.5] 
Шаг №  365 	 В момент времени:  345182 	 1  ->  1 	За время 2.742 	 Вероятности [0.8 0.2] 
Шаг №  366 	 В момент времени:  345585 	 1  ->  1 	За время 0.404 	 Вероятности [0.8 0.2] 
Шаг №  367 	 В момент времени:  345773 	 1  ->  1 	За время 0.189 	 Вероятности [0.8 0.2] 
Шаг №  368 	 В момент времени:  347425 	 1  ->  1 	За время 1.652 	 Вероятности [0.8 0.2] 
Шаг №  369 	 В момент времени:  347979 	 1  ->  1 	За время 0.554 	 Вероятности [0.8 0.2] 
Шаг №  370 	 В момент времени:  350021 	 1  ->  1 	За время 2.042 	 Вероятности [0.8 0.2] 
Шаг №  371 	 В момент времени:  350606 	 1  ->  1 	За время 0.586 	 Вероятности [0.8 0.2] 
Шаг №  372 	 В момент времени:  352641 	 1  ->  1 	За время 2.036 	 Вероятности [0.8 0.2] 
Шаг №  373 	 В момент времени:  352842 	 1  ->  1 	За время 0.202 	 Вероятности [0.8 0.2] 
Шаг №  374 	 В момент времени:  354520 	 1  ->  1 	За время 1.678 	 Вероятности [0.8 0.2] 
Шаг №  375 	 В момент времени:  356108 	 1  ->  1 	За время 1.589 	 Вероятности [0.8 0.2] 
Шаг №  376 	 В момент времени:  357147 	 1  ->  1 	За время 1.039 	 Вероятности [0.8 0.2] 
Шаг №  377 	 В момент времени:  358349 	 1  ->  2 	За время 1.202 	 Вероятности [0.8 0.2] 
Шаг №  378 	 В момент времени:  358898 	 2  ->  2 	За время 0.549 	 Вероятности [0.5 0.5] 
Шаг №  379 	 В момент времени:  358948 	 2  ->  2 	За время 0.051 	 Вероятности [0.5 0.5] 
Шаг №  380 	 В момент времени:  363384 	 2  ->  1 	За время 4.437 	 Вероятности [0.5 0.5] 
Шаг №  381 	 В момент времени:  363720 	 1  ->  1 	За время 0.336 	 Вероятности [0.8 0.2] 
Шаг №  382 	 В момент времени:  363967 	 1  ->  2 	За время 0.247 	 Вероятности [0.8 0.2] 
Шаг №  383 	 В момент времени:  366816 	 2  ->  1 	За время 2.849 	 Вероятности [0.5 0.5] 
Шаг №  384 	 В момент времени:  368330 	 1  ->  2 	За время 1.515 	 Вероятности [0.8 0.2] 
Шаг №  385 	 В момент времени:  368384 	 2  ->  1 	За время 0.054 	 Вероятности [0.5 0.5] 
Шаг №  386 	 В момент времени:  369199 	 1  ->  2 	За время 0.816 	 Вероятности [0.8 0.2] 
Шаг №  387 	 В момент времени:  370994 	 2  ->  2 	За время 1.796 	 Вероятности [0.5 0.5] 
Шаг №  388 	 В момент времени:  372119 	 2  ->  1 	За время 1.126 	 Вероятности [0.5 0.5] 
Шаг №  389 	 В момент времени:  372778 	 1  ->  1 	За время 0.659 	 Вероятности [0.8 0.2] 
Шаг №  390 	 В момент времени:  373318 	 1  ->  1 	За время 0.54 	 Вероятности [0.8 0.2] 
Шаг №  391 	 В момент времени:  373858 	 1  ->  1 	За время 0.54 	 Вероятности [0.8 0.2] 
Шаг №  392 	 В момент времени:  374154 	 1  ->  2 	За время 0.297 	 Вероятности [0.8 0.2] 
Шаг №  393 	 В момент времени:  374177 	 2  ->  2 	За время 0.024 	 Вероятности [0.5 0.5] 
Шаг №  394 	 В момент времени:  375414 	 2  ->  1 	За время 1.238 	 Вероятности [0.5 0.5] 
Шаг №  395 	 В момент времени:  376318 	 1  ->  2 	За время 0.905 	 Вероятности [0.8 0.2] 
Шаг №  396 	 В момент времени:  378167 	 2  ->  1 	За время 1.849 	 Вероятности [0.5 0.5] 
Шаг №  397 	 В момент времени:  378626 	 1  ->  2 	За время 0.459 	 Вероятности [0.8 0.2] 
Шаг №  398 	 В момент времени:  379604 	 2  ->  2 	За время 0.979 	 Вероятности [0.5 0.5] 
Шаг №  399 	 В момент времени:  380385 	 2  ->  1 	За время 0.782 	 Вероятности [0.5 0.5] 
Шаг №  400 	 В момент времени:  381224 	 1  ->  1 	За время 0.84 	 Вероятности [0.8 0.2] 
Шаг №  401 	 В момент времени:  381357 	 1  ->  1 	За время 0.133 	 Вероятности [0.8 0.2] 
Шаг №  402 	 В момент времени:  381475 	 1  ->  1 	За время 0.118 	 Вероятности [0.8 0.2] 
Шаг №  403 	 В момент времени:  381606 	 1  ->  1 	За время 0.131 	 Вероятности [0.8 0.2] 
Шаг №  404 	 В момент времени:  381708 	 1  ->  1 	За время 0.103 	 Вероятности [0.8 0.2] 
Шаг №  405 	 В момент времени:  383600 	 1  ->  1 	За время 1.893 	 Вероятности [0.8 0.2] 
Шаг №  406 	 В момент времени:  384225 	 1  ->  1 	За время 0.625 	 Вероятности [0.8 0.2] 
Шаг №  407 	 В момент времени:  385762 	 1  ->  1 	За время 1.538 	 Вероятности [0.8 0.2] 
Шаг №  408 	 В момент времени:  386459 	 1  ->  2 	За время 0.697 	 Вероятности [0.8 0.2] 
Шаг №  409 	 В момент времени:  386719 	 2  ->  2 	За время 0.261 	 Вероятности [0.5 0.5] 
Шаг №  410 	 В момент времени:  387797 	 2  ->  1 	За время 1.078 	 Вероятности [0.5 0.5] 
Шаг №  411 	 В момент времени:  389608 	 1  ->  1 	За время 1.811 	 Вероятности [0.8 0.2] 
Шаг №  412 	 В момент времени:  391291 	 1  ->  1 	За время 1.684 	 Вероятности [0.8 0.2] 
Шаг №  413 	 В момент времени:  391470 	 1  ->  1 	За время 0.179 	 Вероятности [0.8 0.2] 
Шаг №  414 	 В момент времени:  392170 	 1  ->  1 	За время 0.7 	 Вероятности [0.8 0.2] 
Шаг №  415 	 В момент времени:  392307 	 1  ->  1 	За время 0.138 	 Вероятности [0.8 0.2] 
Шаг №  416 	 В момент времени:  393046 	 1  ->  1 	За время 0.74 	 Вероятности [0.8 0.2] 
Шаг №  417 	 В момент времени:  393771 	 1  ->  1 	За время 0.725 	 Вероятности [0.8 0.2] 
Шаг №  418 	 В момент времени:  394167 	 1  ->  1 	За время 0.397 	 Вероятности [0.8 0.2] 
Шаг №  419 	 В момент времени:  394567 	 1  ->  2 	За время 0.401 	 Вероятности [0.8 0.2] 
Шаг №  420 	 В момент времени:  395484 	 2  ->  1 	За время 0.918 	 Вероятности [0.5 0.5] 
Шаг №  421 	 В момент времени:  396709 	 1  ->  1 	За время 1.225 	 Вероятности [0.8 0.2] 
Шаг №  422 	 В момент времени:  397097 	 1  ->  1 	За время 0.389 	 Вероятности [0.8 0.2] 
Шаг №  423 	 В момент времени:  397423 	 1  ->  1 	За время 0.327 	 Вероятности [0.8 0.2] 
Шаг №  424 	 В момент времени:  399019 	 1  ->  1 	За время 1.596 	 Вероятности [0.8 0.2] 
Шаг №  425 	 В момент времени:  399040 	 1  ->  1 	За время 0.021 	 Вероятности [0.8 0.2] 
Шаг №  426 	 В момент времени:  400424 	 1  ->  1 	За время 1.385 	 Вероятности [0.8 0.2] 
Шаг №  427 	 В момент времени:  401214 	 1  ->  1 	За время 0.79 	 Вероятности [0.8 0.2] 
Шаг №  428 	 В момент времени:  403512 	 1  ->  1 	За время 2.299 	 Вероятности [0.8 0.2] 
Шаг №  429 	 В момент времени:  403803 	 1  ->  2 	За время 0.291 	 Вероятности [0.8 0.2] 
Шаг №  430 	 В момент времени:  404008 	 2  ->  2 	За время 0.205 	 Вероятности [0.5 0.5] 
Шаг №  431 	 В момент времени:  405177 	 2  ->  2 	За время 1.17 	 Вероятности [0.5 0.5] 
Шаг №  432 	 В момент времени:  405293 	 2  ->  1 	За время 0.117 	 Вероятности [0.5 0.5] 
Шаг №  433 	 В момент времени:  406252 	 1  ->  1 	За время 0.96 	 Вероятности [0.8 0.2] 
Шаг №  434 	 В момент времени:  406569 	 1  ->  1 	За время 0.317 	 Вероятности [0.8 0.2] 
Шаг №  435 	 В момент времени:  406574 	 1  ->  1 	За время 0.005 	 Вероятности [0.8 0.2] 
Шаг №  436 	 В момент времени:  406636 	 1  ->  1 	За время 0.062 	 Вероятности [0.8 0.2] 
Шаг №  437 	 В момент времени:  406778 	 1  ->  1 	За время 0.143 	 Вероятности [0.8 0.2] 
Шаг №  438 	 В момент времени:  407229 	 1  ->  1 	За время 0.451 	 Вероятности [0.8 0.2] 
Шаг №  439 	 В момент времени:  409742 	 1  ->  1 	За время 2.514 	 Вероятности [0.8 0.2] 
Шаг №  440 	 В момент времени:  411943 	 1  ->  1 	За время 2.201 	 Вероятности [0.8 0.2] 
Шаг №  441 	 В момент времени:  412323 	 1  ->  1 	За время 0.381 	 Вероятности [0.8 0.2] 
Шаг №  442 	 В момент времени:  412506 	 1  ->  1 	За время 0.183 	 Вероятности [0.8 0.2] 
Шаг №  443 	 В момент времени:  412871 	 1  ->  2 	За время 0.366 	 Вероятности [0.8 0.2] 
Шаг №  444 	 В момент времени:  412927 	 2  ->  1 	За время 0.056 	 Вероятности [0.5 0.5] 
Шаг №  445 	 В момент времени:  414263 	 1  ->  1 	За время 1.337 	 Вероятности [0.8 0.2] 
Шаг №  446 	 В момент времени:  414682 	 1  ->  1 	За время 0.419 	 Вероятности [0.8 0.2] 
Шаг №  447 	 В момент времени:  414708 	 1  ->  1 	За время 0.026 	 Вероятности [0.8 0.2] 
Шаг №  448 	 В момент времени:  417212 	 1  ->  2 	За время 2.505 	 Вероятности [0.8 0.2] 
Шаг №  449 	 В момент времени:  417797 	 2  ->  1 	За время 0.586 	 Вероятности [0.5 0.5] 
Шаг №  450 	 В момент времени:  418504 	 1  ->  2 	За время 0.708 	 Вероятности [0.8 0.2] 
Шаг №  451 	 В момент времени:  418543 	 2  ->  1 	За время 0.04 	 Вероятности [0.5 0.5] 
Шаг №  452 	 В момент времени:  420575 	 1  ->  1 	За время 2.033 	 Вероятности [0.8 0.2] 
Шаг №  453 	 В момент времени:  420894 	 1  ->  1 	За время 0.319 	 Вероятности [0.8 0.2] 
Шаг №  454 	 В момент времени:  422109 	 1  ->  1 	За время 1.216 	 Вероятности [0.8 0.2] 
Шаг №  455 	 В момент времени:  422546 	 1  ->  1 	За время 0.438 	 Вероятности [0.8 0.2] 
Шаг №  456 	 В момент времени:  422822 	 1  ->  1 	За время 0.277 	 Вероятности [0.8 0.2] 
Шаг №  457 	 В момент времени:  423145 	 1  ->  1 	За время 0.324 	 Вероятности [0.8 0.2] 
Шаг №  458 	 В момент времени:  425795 	 1  ->  1 	За время 2.65 	 Вероятности [0.8 0.2] 
Шаг №  459 	 В момент времени:  425968 	 1  ->  2 	За время 0.173 	 Вероятности [0.8 0.2] 
Шаг №  460 	 В момент времени:  426482 	 2  ->  1 	За время 0.515 	 Вероятности [0.5 0.5] 
Шаг №  461 	 В момент времени:  427524 	 1  ->  2 	За время 1.042 	 Вероятности [0.8 0.2] 
Шаг №  462 	 В момент времени:  428590 	 2  ->  2 	За время 1.066 	 Вероятности [0.5 0.5] 
Шаг №  463 	 В момент времени:  430207 	 2  ->  1 	За время 1.618 	 Вероятности [0.5 0.5] 
Шаг №  464 	 В момент времени:  430691 	 1  ->  1 	За время 0.485 	 Вероятности [0.8 0.2] 
Шаг №  465 	 В момент времени:  432725 	 1  ->  1 	За время 2.035 	 Вероятности [0.8 0.2] 
Шаг №  466 	 В момент времени:  433766 	 1  ->  2 	За время 1.042 	 Вероятности [0.8 0.2] 
Шаг №  467 	 В момент времени:  433790 	 2  ->  1 	За время 0.024 	 Вероятности [0.5 0.5] 
Шаг №  468 	 В момент времени:  437414 	 1  ->  1 	За время 3.624 	 Вероятности [0.8 0.2] 
Шаг №  469 	 В момент времени:  438278 	 1  ->  1 	За время 0.864 	 Вероятности [0.8 0.2] 
Шаг №  470 	 В момент времени:  440876 	 1  ->  1 	За время 2.598 	 Вероятности [0.8 0.2] 
Шаг №  471 	 В момент времени:  445620 	 1  ->  2 	За время 4.745 	 Вероятности [0.8 0.2] 
Шаг №  472 	 В момент времени:  446122 	 2  ->  2 	За время 0.503 	 Вероятности [0.5 0.5] 
Шаг №  473 	 В момент времени:  446175 	 2  ->  1 	За время 0.053 	 Вероятности [0.5 0.5] 
Шаг №  474 	 В момент времени:  446752 	 1  ->  1 	За время 0.578 	 Вероятности [0.8 0.2] 
Шаг №  475 	 В момент времени:  448945 	 1  ->  1 	За время 2.193 	 Вероятности [0.8 0.2] 
Шаг №  476 	 В момент времени:  449283 	 1  ->  1 	За время 0.339 	 Вероятности [0.8 0.2] 
Шаг №  477 	 В момент времени:  449722 	 1  ->  1 	За время 0.439 	 Вероятности [0.8 0.2] 
Шаг №  478 	 В момент времени:  449764 	 1  ->  1 	За время 0.043 	 Вероятности [0.8 0.2] 
Шаг №  479 	 В момент времени:  450066 	 1  ->  1 	За время 0.302 	 Вероятности [0.8 0.2] 
Шаг №  480 	 В момент времени:  450889 	 1  ->  1 	За время 0.824 	 Вероятности [0.8 0.2] 
Шаг №  481 	 В момент времени:  451850 	 1  ->  1 	За время 0.962 	 Вероятности [0.8 0.2] 
Шаг №  482 	 В момент времени:  453051 	 1  ->  1 	За время 1.201 	 Вероятности [0.8 0.2] 
Шаг №  483 	 В момент времени:  453351 	 1  ->  1 	За время 0.3 	 Вероятности [0.8 0.2] 
Шаг №  484 	 В момент времени:  453854 	 1  ->  1 	За время 0.504 	 Вероятности [0.8 0.2] 
Шаг №  485 	 В момент времени:  453865 	 1  ->  2 	За время 0.011 	 Вероятности [0.8 0.2] 
Шаг №  486 	 В момент времени:  456985 	 2  ->  2 	За время 3.121 	 Вероятности [0.5 0.5] 
Шаг №  487 	 В момент времени:  457041 	 2  ->  2 	За время 0.056 	 Вероятности [0.5 0.5] 
Шаг №  488 	 В момент времени:  458864 	 2  ->  1 	За время 1.823 	 Вероятности [0.5 0.5] 
Шаг №  489 	 В момент времени:  459611 	 1  ->  2 	За время 0.747 	 Вероятности [0.8 0.2] 
Шаг №  490 	 В момент времени:  460324 	 2  ->  2 	За время 0.714 	 Вероятности [0.5 0.5] 
Шаг №  491 	 В момент времени:  460914 	 2  ->  2 	За время 0.591 	 Вероятности [0.5 0.5] 
Шаг №  492 	 В момент времени:  461894 	 2  ->  1 	За время 0.981 	 Вероятности [0.5 0.5] 
Шаг №  493 	 В момент времени:  462536 	 1  ->  2 	За время 0.642 	 Вероятности [0.8 0.2] 
Шаг №  494 	 В момент времени:  462613 	 2  ->  2 	За время 0.078 	 Вероятности [0.5 0.5] 
Шаг №  495 	 В момент времени:  463070 	 2  ->  1 	За время 0.458 	 Вероятности [0.5 0.5] 
Шаг №  496 	 В момент времени:  467714 	 1  ->  1 	За время 4.645 	 Вероятности [0.8 0.2] 
Шаг №  497 	 В момент времени:  467821 	 1  ->  1 	За время 0.108 	 Вероятности [0.8 0.2] 
Шаг №  498 	 В момент времени:  468041 	 1  ->  2 	За время 0.221 	 Вероятности [0.8 0.2] 
Шаг №  499 	 В момент времени:  468800 	 2  ->  2 	За время 0.759 	 Вероятности [0.5 0.5] 
Шаг №  500 	 В момент времени:  470693 	 2  ->  1 	За время 1.893 	 Вероятности [0.5 0.5] 
Шаг №  501 	 В момент времени:  471069 	 1  ->  1 	За время 0.376 	 Вероятности [0.8 0.2] 
Шаг №  502 	 В момент времени:  471906 	 1  ->  1 	За время 0.837 	 Вероятности [0.8 0.2] 
Шаг №  503 	 В момент времени:  471959 	 1  ->  1 	За время 0.053 	 Вероятности [0.8 0.2] 
Шаг №  504 	 В момент времени:  473475 	 1  ->  1 	За время 1.516 	 Вероятности [0.8 0.2] 
Шаг №  505 	 В момент времени:  474735 	 1  ->  1 	За время 1.261 	 Вероятности [0.8 0.2] 
Шаг №  506 	 В момент времени:  477381 	 1  ->  2 	За время 2.646 	 Вероятности [0.8 0.2] 
